id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_total,mes,trimestre,ano,mes_nome,faixa_receita_item
72,2025-11-09,Cliente_048,Tablet,Celulares,Sul,10.0,1865.35,18653.5,11,Q4,2025,Novembro,Alto Valor
73,2025-07-29,Cliente_029,  Teclado ,Perifericos,Centro-Oeste,2.0,224.24,448.48,7,Q3,2025,Julho,Baixo Valor
74,2025-11-17,Cliente_038,Notebook,Computadores,Nordeste,4.0,3945.11,15780.44,11,Q4,2025,Novembro,Alto Valor
75,2025-03-26,Cliente_020,Headset,Perifericos,Nordeste,3.0,305.0,915.0,3,Q1,2025,Março,Medio Valor
76,2025-09-14,Cliente_035,  Mouse ,Perifericos,Nordeste,7.0,135.94,951.5799999999999,9,Q3,2025,Setembro,Medio Valor
78,2025-05-23,Cliente_012,Monitor,Computadores,Centro-Oeste,9.0,1254.54,11290.86,5,Q2,2025,Maio,Alto Valor
79,2025-03-24,Cliente_022,Tablet,Celulares,Sudeste,6.0,1891.87,11351.22,3,Q1,2025,Março,Alto Valor
80,2025-06-15,Cliente_008,Monitor,Computadores,Norte,2.0,1133.23,2266.46,6,Q2,2025,Junho,Medio Valor
81,2025-09-23,Cliente_024,Monitor,Computadores,Sul,7.0,1039.51,7276.57,9,Q3,2025,Setembro,Alto Valor
83,2025-02-28,Cliente_030,Teclado,Perifericos,Nordeste,7.0,219.49,1536.43,2,Q1,2025,Fevereiro,Medio Valor
84,2025-05-05,Cliente_030,Monitor,Computadores,Sudeste,8.0,1372.89,10983.12,5,Q2,2025,Maio,Alto Valor
85,2025-09-17,Cliente_018,Tablet,Celulares,Centro-Oeste,7.0,1713.53,11994.71,9,Q3,2025,Setembro,Alto Valor
86,2025-09-05,Cliente_023,Headset,Perifericos,Sul,3.0,344.39,1033.17,9,Q3,2025,Setembro,Medio Valor
87,2025-07-30,Cliente_003,Teclado,Perifericos,Sul,7.0,230.02,1610.14,7,Q3,2025,Julho,Medio Valor
88,2025-10-30,Cliente_022,Monitor,Computadores,Sul,1.0,1065.45,1065.45,10,Q4,2025,Outubro,Medio Valor
89,2025-05-16,Cliente_022,Monitor,Computadores,Norte,3.0,1046.94,3140.82,5,Q2,2025,Maio,Medio Valor
91,2025-12-27,Cliente_007,Monitor,Computadores,Nordeste,2.0,1293.73,2587.46,12,Q4,2025,Dezembro,Medio Valor
92,2025-05-06,Cliente_034,Tablet,Celulares,Centro-Oeste,6.0,1762.57,10575.42,5,Q2,2025,Maio,Alto Valor
93,2025-10-26,Cliente_010,Teclado,Perifericos,Centro-Oeste,4.0,249.83,999.32,10,Q4,2025,Outubro,Medio Valor
94,2025-08-15,Cliente_023,Tablet,Celulares,Nordeste,9.0,1615.31,14537.789999999999,8,Q3,2025,Agosto,Alto Valor
95,2025-02-24,cliente016,Smartphone,Celulares,Nordeste,7.0,2433.2,17032.399999999998,2,Q1,2025,Fevereiro,Alto Valor
96,2025-01-26,Cliente_039,Notebook,Computadores,Nordeste,10.0,3883.32,38833.200000000004,1,Q1,2025,Janeiro,Alto Valor
97,2025-12-14,Cliente_049,Smartphone,Celulares,Sudeste,4.0,2279.79,9119.16,12,Q4,2025,Dezembro,Alto Valor
98,2025-07-06,Cliente_047,Tablet,Celulares,Norte,8.0,1548.02,12384.16,7,Q3,2025,Julho,Alto Valor
99,2025-05-20,Cliente_011,Tablet,Celulares,Nordeste,9.0,1800.97,16208.73,5,Q2,2025,Maio,Alto Valor
100,2025-02-08,Cliente_010,Headset,Perifericos,Norte,2.0,346.67,693.34,2,Q1,2025,Fevereiro,Medio Valor
101,2025-01-08,Cliente_017,Tablet,Celulares,Nordeste,2.0,1956.97,3913.94,1,Q1,2025,Janeiro,Medio Valor
102,2025-11-14,Cliente_036,Notebook,Computadores,Nordeste,4.0,3470.05,13880.2,11,Q4,2025,Novembro,Alto Valor
103,2025-01-24,Cliente_003,Mouse,Perifericos,Centro-Oeste,7.0,106.2,743.4,1,Q1,2025,Janeiro,Medio Valor
104,2025-03-21,Cliente_027,Tablet,Celulares,Nordeste,9.0,1756.33,15806.97,3,Q1,2025,Março,Alto Valor
105,2025-05-01,Cliente_024,Smartphone,Celulares,Centro-Oeste,8.0,2163.5,17308.0,5,Q2,2025,Maio,Alto Valor
107,2025-10-11,Cliente_014,Smartphone,Celulares,Norte,10.0,2005.44,20054.4,10,Q4,2025,Outubro,Alto Valor
108,2025-03-16,Cliente_009,Notebook,Computadores,Nordeste,5.0,3876.33,19381.65,3,Q1,2025,Março,Alto Valor
109,2025-01-09,cliente012,Headset,Perifericos,Nordeste,4.0,359.33,1437.32,1,Q1,2025,Janeiro,Medio Valor
110,2025-09-15,Cliente_015,Teclado,Perifericos,Centro-Oeste,10.0,220.68,2206.8,9,Q3,2025,Setembro,Medio Valor
111,2025-09-03,Cliente_026,Mouse,Perifericos,Nordeste,1.0,104.19,104.19,9,Q3,2025,Setembro,Baixo Valor
112,2025-05-21,Cliente_040,Teclado,Perifericos,Centro-Oeste,3.0,217.43,652.29,5,Q2,2025,Maio,Medio Valor
113,2025-12-26,Cliente_008,Teclado,Perifericos,Centro-Oeste,10.0,244.76,2447.6,12,Q4,2025,Dezembro,Medio Valor
114,2025-08-21,Cliente_026,Smartphone,Celulares,Sul,7.0,2093.69,14655.83,8,Q3,2025,Agosto,Alto Valor
115,2025-02-13,Cliente_006,Mouse,Perifericos,Sudeste,8.0,104.42,835.36,2,Q1,2025,Fevereiro,Medio Valor
116,2025-08-05,Cliente_047,Monitor,Computadores,Sul,6.0,1334.5,8007.0,8,Q3,2025,Agosto,Alto Valor
117,2025-02-25,Cliente_023,Mouse,Perifericos,Norte,8.0,110.07,880.56,2,Q1,2025,Fevereiro,Medio Valor
119,2025-03-15,Cliente_037,Tablet,Celulares,Centro-Oeste,6.0,1533.3,9199.8,3,Q1,2025,Março,Alto Valor
120,2025-07-09,Cliente_020,Monitor,Computadores,Norte,8.0,1142.72,9141.76,7,Q3,2025,Julho,Alto Valor
121,2025-12-05,Cliente_028,Notebook,Computadores,Centro-Oeste,2.0,3260.71,6521.42,12,Q4,2025,Dezembro,Alto Valor
122,2025-10-31,Cliente_032,Notebook,Computadores,Nordeste,5.0,3687.13,18435.65,10,Q4,2025,Outubro,Alto Valor
123,2025-05-29,Cliente_021,Smartphone,Celulares,Sul,3.0,2374.35,7123.049999999999,5,Q2,2025,Maio,Alto Valor
124,2025-07-01,Cliente_005,Teclado,Perifericos,Norte,9.0,275.0,2475.0,7,Q3,2025,Julho,Medio Valor
125,2025-11-24,Cliente_027,Monitor,Computadores,Centro-Oeste,10.0,1165.59,11655.9,11,Q4,2025,Novembro,Alto Valor
126,2025-02-24,Cliente_016,Headset,Perifericos,Sul,6.0,306.75,1840.5,2,Q1,2025,Fevereiro,Medio Valor
127,2025-11-21,Cliente_008,Tablet,Celulares,Sul,3.0,1571.24,4713.72,11,Q4,2025,Novembro,Medio Valor
128,2025-04-12,Cliente_012,Smartphone,Celulares,Centro-Oeste,2.0,1966.65,3933.3,4,Q2,2025,Abril,Medio Valor
129,2025-08-18,Cliente_044,Monitor,Computadores,Nordeste,10.0,1293.56,12935.599999999999,8,Q3,2025,Agosto,Alto Valor
130,2025-08-15,Cliente_041,  Smartphone ,Celulares,Centro-Oeste,8.0,1915.07,15320.56,8,Q3,2025,Agosto,Alto Valor
131,2025-05-27,Cliente_005,Notebook,Computadores,Norte,1.0,3362.17,3362.17,5,Q2,2025,Maio,Medio Valor
132,2025-10-20,Cliente_042,Teclado,Perifericos,Nordeste,1.0,246.23,246.23,10,Q4,2025,Outubro,Baixo Valor
133,2025-03-30,Cliente_003,Mouse,Perifericos,Nordeste,2.0,120.16,240.32,3,Q1,2025,Março,Baixo Valor
134,2025-06-23,cliente044,Tablet,Celulares,Nordeste,7.0,1750.74,12255.18,6,Q2,2025,Junho,Alto Valor
135,2025-06-20,Cliente_006,Tablet,Celulares,Centro-Oeste,10.0,2001.57,20015.7,6,Q2,2025,Junho,Alto Valor
136,2025-02-13,Cliente_020,Smartphone,Celulares,Norte,10.0,2337.83,23378.3,2,Q1,2025,Fevereiro,Alto Valor
137,2025-01-10,Cliente_024,Notebook,Computadores,Sul,7.0,3508.91,24562.37,1,Q1,2025,Janeiro,Alto Valor
138,2025-02-21,Cliente_033,Smartphone,Celulares,Norte,2.0,2065.22,4130.44,2,Q1,2025,Fevereiro,Medio Valor
139,2025-03-25,Cliente_012,Smartphone,Celulares,Centro-Oeste,10.0,2118.64,21186.399999999998,3,Q1,2025,Março,Alto Valor
140,2025-11-09,Cliente_019,Tablet,Celulares,Centro-Oeste,4.0,2053.58,8214.32,11,Q4,2025,Novembro,Alto Valor
141,2025-10-20,Cliente_029,Headset,Perifericos,Sul,4.0,336.12,1344.48,10,Q4,2025,Outubro,Medio Valor
142,2025-05-09,Cliente_004,Headset,Perifericos,Sudeste,10.0,312.03,3120.2999999999997,5,Q2,2025,Maio,Medio Valor
143,2025-05-20,Cliente_029,Tablet,Celulares,Centro-Oeste,2.0,1942.08,3884.16,5,Q2,2025,Maio,Medio Valor
144,2025-07-22,Cliente_033,Tablet,Celulares,Sudeste,1.0,1754.04,1754.04,7,Q3,2025,Julho,Medio Valor
145,2025-03-12,Cliente_003,Headset,Perifericos,Centro-Oeste,6.0,380.59,2283.54,3,Q1,2025,Março,Medio Valor
146,2025-01-10,Cliente_017,Teclado,Perifericos,Nordeste,1.0,280.44,280.44,1,Q1,2025,Janeiro,Baixo Valor
147,2025-05-03,Cliente_027,Smartphone,Celulares,Norte,5.0,1950.42,9752.1,5,Q2,2025,Maio,Alto Valor
148,2025-03-15,Cliente_019,Notebook,Computadores,Sudeste,9.0,3578.8,32209.2,3,Q1,2025,Março,Alto Valor
149,2025-09-27,Cliente_035,Teclado,Perifericos,Centro-Oeste,6.0,217.58,1305.48,9,Q3,2025,Setembro,Medio Valor
150,2025-07-02,Cliente_005,Tablet,Celulares,Nordeste,5.0,1933.55,9667.75,7,Q3,2025,Julho,Alto Valor
151,2025-06-23,Cliente_042,Smartphone,Celulares,Sul,1.0,2102.52,2102.52,6,Q2,2025,Junho,Medio Valor
152,2025-04-14,Cliente_003,Notebook,Computadores,Norte,8.0,3013.83,24110.64,4,Q2,2025,Abril,Alto Valor
153,2025-11-28,Cliente_013,  Monitor ,Computadores,Nordeste,5.0,1033.18,5165.900000000001,11,Q4,2025,Novembro,Alto Valor
154,2025-07-17,Cliente_022,Monitor,Computadores,Sudeste,7.0,1287.59,9013.13,7,Q3,2025,Julho,Alto Valor
155,2025-11-05,Cliente_012,Mouse,Perifericos,Norte,7.0,104.84,733.88,11,Q4,2025,Novembro,Medio Valor
156,2025-08-16,Cliente_023,Mouse,Perifericos,Sudeste,7.0,108.0,756.0,8,Q3,2025,Agosto,Medio Valor
157,2025-12-14,CLIENTE011,Notebook,Computadores,Sul,7.0,3356.48,23495.36,12,Q4,2025,Dezembro,Alto Valor
158,2025-10-18,Cliente_003,Headset,Perifericos,Norte,6.0,335.53,2013.1799999999998,10,Q4,2025,Outubro,Medio Valor
159,2025-06-10,Cliente_042,  Smartphone ,Celulares,Norte,9.0,2112.19,19009.71,6,Q2,2025,Junho,Alto Valor
160,2025-12-27,Cliente_029,Notebook,Computadores,Sul,5.0,3788.71,18943.55,12,Q4,2025,Dezembro,Alto Valor
161,2025-08-16,Cliente_006,Headset,Perifericos,Norte,2.0,344.96,689.92,8,Q3,2025,Agosto,Medio Valor
162,2025-03-22,Cliente_046,Teclado,Perifericos,Sul,5.0,279.35,1396.75,3,Q1,2025,Março,Medio Valor
163,2025-09-10,Cliente_002,Headset,Perifericos,Sudeste,3.0,322.36,967.08,9,Q3,2025,Setembro,Medio Valor
164,2025-09-03,Cliente_034,Notebook,Computadores,Sudeste,5.0,3393.07,16965.350000000002,9,Q3,2025,Setembro,Alto Valor
165,2025-06-26,Cliente_009,Monitor,Computadores,Centro-Oeste,8.0,1264.84,10118.72,6,Q2,2025,Junho,Alto Valor
166,2025-09-23,Cliente_010,Teclado,Perifericos,Norte,1.0,274.85,274.85,9,Q3,2025,Setembro,Baixo Valor
167,2025-11-22,Cliente_036,Tablet,Celulares,Norte,2.0,1665.33,3330.66,11,Q4,2025,Novembro,Medio Valor
168,2025-11-16,Cliente_047,Teclado,Perifericos,Sudeste,3.0,225.34,676.02,11,Q4,2025,Novembro,Medio Valor
169,2025-04-18,Cliente_050,  Notebook ,Computadores,Nordeste,10.0,3252.89,32528.899999999998,4,Q2,2025,Abril,Alto Valor
170,2025-12-17,Cliente_026,  Monitor ,Computadores,Sul,4.0,1309.69,5238.76,12,Q4,2025,Dezembro,Alto Valor
171,2025-06-13,Cliente_047,Tablet,Celulares,Sudeste,10.0,1607.58,16075.8,6,Q2,2025,Junho,Alto Valor
172,2025-05-17,Cliente_029,Tablet,Celulares,Sul,4.0,1781.9,7127.6,5,Q2,2025,Maio,Alto Valor
173,2025-10-23,Cliente_047,Headset,Perifericos,Nordeste,3.0,382.92,1148.76,10,Q4,2025,Outubro,Medio Valor
174,2025-07-21,Cliente_033,Monitor,Computadores,Norte,1.0,1052.42,1052.42,7,Q3,2025,Julho,Medio Valor
175,2025-01-05,Cliente_007,Headset,Perifericos,Centro-Oeste,8.0,327.5,2620.0,1,Q1,2025,Janeiro,Medio Valor
176,2025-07-05,Cliente_036,Notebook,Computadores,Norte,10.0,3564.91,35649.1,7,Q3,2025,Julho,Alto Valor
177,2025-02-19,Cliente_026,Mouse,Perifericos,Norte,10.0,106.28,1062.8,2,Q1,2025,Fevereiro,Medio Valor
178,2025-01-24,Cliente_003,Teclado,Perifericos,Norte,7.0,250.01,1750.07,1,Q1,2025,Janeiro,Medio Valor
179,2025-06-13,Cliente_011,Smartphone,Celulares,Norte,6.0,2484.7,14908.199999999999,6,Q2,2025,Junho,Alto Valor
180,2025-06-03,Cliente_031,Teclado,Perifericos,Sudeste,8.0,265.66,2125.28,6,Q2,2025,Junho,Medio Valor
181,2025-12-02,Cliente_050,  Teclado ,Perifericos,Norte,8.0,232.41,1859.28,12,Q4,2025,Dezembro,Medio Valor
183,2025-11-10,Cliente_031,Monitor,Computadores,Nordeste,4.0,1167.74,4670.96,11,Q4,2025,Novembro,Medio Valor
184,2025-06-10,Cliente_012,Mouse,Perifericos,Nordeste,8.0,120.92,967.36,6,Q2,2025,Junho,Medio Valor
185,2025-05-07,Cliente_018,Teclado,Perifericos,Sul,8.0,226.92,1815.36,5,Q2,2025,Maio,Medio Valor
186,2025-06-28,Cliente_036,Mouse,Perifericos,Centro-Oeste,8.0,113.41,907.28,6,Q2,2025,Junho,Medio Valor
188,2025-05-19,Cliente_036,Smartphone,Celulares,Norte,4.0,2416.45,9665.8,5,Q2,2025,Maio,Alto Valor
190,2025-04-13,Cliente_049,Monitor,Computadores,Norte,8.0,1191.88,9535.04,4,Q2,2025,Abril,Alto Valor
191,2025-03-31,Cliente_027,Mouse,Perifericos,Centro-Oeste,1.0,134.88,134.88,3,Q1,2025,Março,Baixo Valor
192,2025-01-05,Cliente_020,Smartphone,Celulares,Norte,5.0,2448.65,12243.25,1,Q1,2025,Janeiro,Alto Valor
193,2025-03-10,Cliente_033,Teclado,Perifericos,Nordeste,8.0,279.19,2233.52,3,Q1,2025,Março,Medio Valor
194,2025-06-22,Cliente_019,Mouse,Perifericos,Centro-Oeste,3.0,102.51,307.53000000000003,6,Q2,2025,Junho,Baixo Valor
195,2025-12-09,Cliente_007,Teclado,Perifericos,Sul,6.0,219.01,1314.06,12,Q4,2025,Dezembro,Medio Valor
197,2025-09-15,Cliente_046,Tablet,Celulares,Sul,3.0,1748.92,5246.76,9,Q3,2025,Setembro,Alto Valor
198,2025-08-21,Cliente_048,Smartphone,Celulares,Sul,3.0,2185.6,6556.799999999999,8,Q3,2025,Agosto,Alto Valor
199,2025-11-02,Cliente_006,Headset,Perifericos,Norte,4.0,368.94,1475.76,11,Q4,2025,Novembro,Medio Valor
200,2025-03-18,Cliente_011,Teclado,Perifericos,Sudeste,4.0,255.45,1021.8,3,Q1,2025,Março,Medio Valor
